Артист,Название,URL
Oxxxymiron,Восточный мордор,https://rus.hitmotop.com/search?q=Oxxxymiron%20%D0%92%D0%BE%D1%81%D1%82%D0%BE%D1%87%D0%BD%D1%8B%D0%B9%20%D0%BC%D0%BE%D1%80%D0%B4%D0%BE%D1%80
Oxxxymiron,Всего лишь писатель,https://rus.hitmotop.com/search?q=Oxxxymiron%20%D0%92%D1%81%D0%B5%D0%B3%D0%BE%20%D0%BB%D0%B8%D1%88%D1%8C%20%D0%BF%D0%B8%D1%81%D0%B0%D1%82%D0%B5%D0%BB%D1%8C
Oxxxymiron,Девочка Пиздец,https://rus.hitmotop.com/search?q=Oxxxymiron%20%D0%94%D0%B5%D0%B2%D0%BE%D1%87%D0%BA%D0%B0%20%D0%9F%D0%B8%D0%B7%D0%B4%D0%B5%D1%86
Oxxxymiron,Детектор лжи,https://rus.hitmotop.com/search?q=Oxxxymiron%20%D0%94%D0%B5%D1%82%D0%B5%D0%BA%D1%82%D0%BE%D1%80%20%D0%BB%D0%B6%D0%B8
Oxxxymiron,До зимы,https://rus.hitmotop.com/search?q=Oxxxymiron%20%D0%94%D0%BE%20%D0%B7%D0%B8%D0%BC%D1%8B
Oxxxymiron,До сих пор MC,https://rus.hitmotop.com/search?q=Oxxxymiron%20%D0%94%D0%BE%20%D1%81%D0%B8%D1%85%20%D0%BF%D0%BE%D1%80%20MC
Oxxxymiron,Жук в муравейнике feat. Schokk,https://rus.hitmotop.com/search?q=Oxxxymiron%20%D0%96%D1%83%D0%BA%20%D0%B2%20%D0%BC%D1%83%D1%80%D0%B0%D0%B2%D0%B5%D0%B9%D0%BD%D0%B8%D0%BA%D0%B5%20feat.%20Schokk
Oxxxymiron,Интро,https://rus.hitmotop.com/search?q=Oxxxymiron%20%D0%98%D0%BD%D1%82%D1%80%D0%BE
Oxxxymiron,Кем ты стал,https://rus.hitmotop.com/search?q=Oxxxymiron%20%D0%9A%D0%B5%D0%BC%20%D1%82%D1%8B%20%D1%81%D1%82%D0%B0%D0%BB
Oxxxymiron,Колыбельная,https://rus.hitmotop.com/search?q=Oxxxymiron%20%D0%9A%D0%BE%D0%BB%D1%8B%D0%B1%D0%B5%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F
Oxxxymiron,Крокодиловы слезы,https://rus.hitmotop.com/search?q=Oxxxymiron%20%D0%9A%D1%80%D0%BE%D0%BA%D0%BE%D0%B4%D0%B8%D0%BB%D0%BE%D0%B2%D1%8B%20%D1%81%D0%BB%D0%B5%D0%B7%D1%8B
Oxxxymiron,Крокодиловы слёзы,https://rus.hitmotop.com/search?q=Oxxxymiron%20%D0%9A%D1%80%D0%BE%D0%BA%D0%BE%D0%B4%D0%B8%D0%BB%D0%BE%D0%B2%D1%8B%20%D1%81%D0%BB%D1%91%D0%B7%D1%8B
Oxxxymiron,"Лондон против всех, ч.2",https://rus.hitmotop.com/search?q=Oxxxymiron%20%D0%9B%D0%BE%D0%BD%D0%B4%D0%BE%D0%BD%20%D0%BF%D1%80%D0%BE%D1%82%D0%B8%D0%B2%20%D0%B2%D1%81%D0%B5%D1%85%2C%20%D1%87.2
Oxxxymiron,Накануне,https://rus.hitmotop.com/search?q=Oxxxymiron%20%D0%9D%D0%B0%D0%BA%D0%B0%D0%BD%D1%83%D0%BD%D0%B5
Oxxxymiron,Не от мира сего,https://rus.hitmotop.com/search?q=Oxxxymiron%20%D0%9D%D0%B5%20%D0%BE%D1%82%20%D0%BC%D0%B8%D1%80%D0%B0%20%D1%81%D0%B5%D0%B3%D0%BE
Oxxxymiron,Не с начала,https://rus.hitmotop.com/search?q=Oxxxymiron%20%D0%9D%D0%B5%20%D1%81%20%D0%BD%D0%B0%D1%87%D0%B0%D0%BB%D0%B0
Oxxxymiron,Неваляшка,https://rus.hitmotop.com/search?q=Oxxxymiron%20%D0%9D%D0%B5%D0%B2%D0%B0%D0%BB%D1%8F%D1%88%D0%BA%D0%B0
Oxxxymiron,Переплетено,https://rus.hitmotop.com/search?q=Oxxxymiron%20%D0%9F%D0%B5%D1%80%D0%B5%D0%BF%D0%BB%D0%B5%D1%82%D0%B5%D0%BD%D0%BE
Oxxxymiron,Песенка Гремлина,https://rus.hitmotop.com/search?q=Oxxxymiron%20%D0%9F%D0%B5%D1%81%D0%B5%D0%BD%D0%BA%D0%B0%20%D0%93%D1%80%D0%B5%D0%BC%D0%BB%D0%B8%D0%BD%D0%B0
Oxxxymiron,Привет со дна feat. Dom!no,https://rus.hitmotop.com/search?q=Oxxxymiron%20%D0%9F%D1%80%D0%B8%D0%B2%D0%B5%D1%82%20%D1%81%D0%BE%20%D0%B4%D0%BD%D0%B0%20feat.%20Dom%21no
Oxxxymiron,Признаки жизни,https://rus.hitmotop.com/search?q=Oxxxymiron%20%D0%9F%D1%80%D0%B8%D0%B7%D0%BD%D0%B0%D0%BA%D0%B8%20%D0%B6%D0%B8%D0%B7%D0%BD%D0%B8
Oxxxymiron,Пролив Дрейка,https://rus.hitmotop.com/search?q=Oxxxymiron%20%D0%9F%D1%80%D0%BE%D0%BB%D0%B8%D0%B2%20%D0%94%D1%80%D0%B5%D0%B9%D0%BA%D0%B0
Oxxxymiron,Слово мэра,https://rus.hitmotop.com/search?q=Oxxxymiron%20%D0%A1%D0%BB%D0%BE%D0%B2%D0%BE%20%D0%BC%D1%8D%D1%80%D0%B0
Oxxxymiron,Спонтанное самовозгорание,https://rus.hitmotop.com/search?q=Oxxxymiron%20%D0%A1%D0%BF%D0%BE%D0%BD%D1%82%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5%20%D1%81%D0%B0%D0%BC%D0%BE%D0%B2%D0%BE%D0%B7%D0%B3%D0%BE%D1%80%D0%B0%D0%BD%D0%B8%D0%B5
Oxxxymiron,Судьба моралиста,https://rus.hitmotop.com/search?q=Oxxxymiron%20%D0%A1%D1%83%D0%B4%D1%8C%D0%B1%D0%B0%20%D0%BC%D0%BE%D1%80%D0%B0%D0%BB%D0%B8%D1%81%D1%82%D0%B0
Oxxxymiron,Тентакли,https://rus.hitmotop.com/search?q=Oxxxymiron%20%D0%A2%D0%B5%D0%BD%D1%82%D0%B0%D0%BA%D0%BB%D0%B8
Oxxxymiron,Хитиновый покров,https://rus.hitmotop.com/search?q=Oxxxymiron%20%D0%A5%D0%B8%D1%82%D0%B8%D0%BD%D0%BE%D0%B2%D1%8B%D0%B9%20%D0%BF%D0%BE%D0%BA%D1%80%D0%BE%D0%B2
Oxxxymiron,Цифры и цвета,https://rus.hitmotop.com/search?q=Oxxxymiron%20%D0%A6%D0%B8%D1%84%D1%80%D1%8B%20%D0%B8%20%D1%86%D0%B2%D0%B5%D1%82%D0%B0
Oxxxymiron,Безумие,https://rus.hitmotop.com/search?q=Oxxxymiron%20%D0%91%D0%B5%D0%B7%D1%83%D0%BC%D0%B8%D0%B5
Oxxxymiron,Athens,https://rus.hitmotop.com/search?q=Oxxxymiron%20Athens
Oxxxymiron,BACK 2 GRIME,https://rus.hitmotop.com/search?q=Oxxxymiron%20BACK%202%20GRIME
Oxxxymiron,Earth Burns,https://rus.hitmotop.com/search?q=Oxxxymiron%20Earth%20Burns
Oxxxymiron,Fata Morgana,https://rus.hitmotop.com/search?q=Oxxxymiron%20Fata%20Morgana
Скриптонит,16,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%2016
Скриптонит,Положение,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20%D0%9F%D0%BE%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5
Скриптонит,Локоны,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20%D0%9B%D0%BE%D0%BA%D0%BE%D0%BD%D1%8B
Скриптонит,100 поцелуев,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20100%20%D0%BF%D0%BE%D1%86%D0%B5%D0%BB%D1%83%D0%B5%D0%B2
Скриптонит,Як 2,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20%D0%AF%D0%BA%202
Скриптонит,Bad Vision - Solo Version,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20Bad%20Vision%20-%20Solo%20Version
Скриптонит,CNN,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20CNN
Скриптонит,DENGI-BABKI,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20DENGI-BABKI
Скриптонит,INEEDU,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20INEEDU
Скриптонит,Obnovylle (Remix),https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20Obnovylle%20%28Remix%29
Скриптонит,Perignon,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20Perignon
Скриптонит,Polozhenie (Izzamuzzic Remix),https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20Polozhenie%20%28Izzamuzzic%20Remix%29
Скриптонит,Smoke,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20Smoke
Скриптонит,Аванс,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20%D0%90%D0%B2%D0%B0%D0%BD%D1%81
Скриптонит,Аванс - Live,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20%D0%90%D0%B2%D0%B0%D0%BD%D1%81%20-%20Live
Скриптонит,Будьте здоровы,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20%D0%91%D1%83%D0%B4%D1%8C%D1%82%D0%B5%20%D0%B7%D0%B4%D0%BE%D1%80%D0%BE%D0%B2%D1%8B
Скриптонит,Будьте здоровы - 2023 Remaster,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20%D0%91%D1%83%D0%B4%D1%8C%D1%82%D0%B5%20%D0%B7%D0%B4%D0%BE%D1%80%D0%BE%D0%B2%D1%8B%20-%202023%20Remaster
Скриптонит,Веселей,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20%D0%92%D0%B5%D1%81%D0%B5%D0%BB%D0%B5%D0%B9
Скриптонит,Вечеринка,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20%D0%92%D0%B5%D1%87%D0%B5%D1%80%D0%B8%D0%BD%D0%BA%D0%B0
Скриптонит,Вечеринка - Live,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20%D0%92%D0%B5%D1%87%D0%B5%D1%80%D0%B8%D0%BD%D0%BA%D0%B0%20-%20Live
Скриптонит,Вниз,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20%D0%92%D0%BD%D0%B8%D0%B7
Скриптонит,Гастроли,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20%D0%93%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%B8
Скриптонит,До конца,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20%D0%94%D0%BE%20%D0%BA%D0%BE%D0%BD%D1%86%D0%B0
Скриптонит,Дома,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20%D0%94%D0%BE%D0%BC%D0%B0
Скриптонит,Жизнь не сахар - Solo Version,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20%D0%96%D0%B8%D0%B7%D0%BD%D1%8C%20%D0%BD%D0%B5%20%D1%81%D0%B0%D1%85%D0%B0%D1%80%20-%20Solo%20Version
Скриптонит,Затяжка,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20%D0%97%D0%B0%D1%82%D1%8F%D0%B6%D0%BA%D0%B0
Скриптонит,Зита и Гита,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20%D0%97%D0%B8%D1%82%D0%B0%20%D0%B8%20%D0%93%D0%B8%D1%82%D0%B0
Скриптонит,Интро,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20%D0%98%D0%BD%D1%82%D1%80%D0%BE
Скриптонит,Коньяк,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20%D0%9A%D0%BE%D0%BD%D1%8C%D1%8F%D0%BA
Скриптонит,Космос,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20%D0%9A%D0%BE%D1%81%D0%BC%D0%BE%D1%81
Скриптонит,Легально,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20%D0%9B%D0%B5%D0%B3%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE
Скриптонит,Любить друг друга,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20%D0%9B%D1%8E%D0%B1%D0%B8%D1%82%D1%8C%20%D0%B4%D1%80%D1%83%D0%B3%20%D0%B4%D1%80%D1%83%D0%B3%D0%B0
Скриптонит,Лям,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20%D0%9B%D1%8F%D0%BC
Скриптонит,Мойки,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20%D0%9C%D0%BE%D0%B9%D0%BA%D0%B8
Скриптонит,На должном,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20%D0%9D%D0%B0%20%D0%B4%D0%BE%D0%BB%D0%B6%D0%BD%D0%BE%D0%BC
Скриптонит,Не вывихни шею,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20%D0%9D%D0%B5%20%D0%B2%D1%8B%D0%B2%D0%B8%D1%85%D0%BD%D0%B8%20%D1%88%D0%B5%D1%8E
Скриптонит,Некогда мечтать,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20%D0%9D%D0%B5%D0%BA%D0%BE%D0%B3%D0%B4%D0%B0%20%D0%BC%D0%B5%D1%87%D1%82%D0%B0%D1%82%D1%8C
Скриптонит,Огни,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20%D0%9E%D0%B3%D0%BD%D0%B8
Скриптонит,Океан,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20%D0%9E%D0%BA%D0%B5%D0%B0%D0%BD
Скриптонит,Органика,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20%D0%9E%D1%80%D0%B3%D0%B0%D0%BD%D0%B8%D0%BA%D0%B0
Скриптонит,Оставь это нам,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20%D0%9E%D1%81%D1%82%D0%B0%D0%B2%D1%8C%20%D1%8D%D1%82%D0%BE%20%D0%BD%D0%B0%D0%BC
Скриптонит,Плохие привычки,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20%D0%9F%D0%BB%D0%BE%D1%85%D0%B8%D0%B5%20%D0%BF%D1%80%D0%B8%D0%B2%D1%8B%D1%87%D0%BA%D0%B8
Скриптонит,Притон,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20%D0%9F%D1%80%D0%B8%D1%82%D0%BE%D0%BD
Скриптонит,Рабские лекции (Умножить),https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20%D0%A0%D0%B0%D0%B1%D1%81%D0%BA%D0%B8%D0%B5%20%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D0%B8%20%28%D0%A3%D0%BC%D0%BD%D0%BE%D0%B6%D0%B8%D1%82%D1%8C%29
Скриптонит,Радуйся,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20%D0%A0%D0%B0%D0%B4%D1%83%D0%B9%D1%81%D1%8F
Скриптонит,Свистки,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20%D0%A1%D0%B2%D0%B8%D1%81%D1%82%D0%BA%D0%B8
Скриптонит,Сны,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20%D0%A1%D0%BD%D1%8B
Скриптонит,Стелить,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20%D0%A1%D1%82%D0%B5%D0%BB%D0%B8%D1%82%D1%8C
Скриптонит,Стиль - Другая версия,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20%D0%A1%D1%82%D0%B8%D0%BB%D1%8C%20-%20%D0%94%D1%80%D1%83%D0%B3%D0%B0%D1%8F%20%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%8F
Скриптонит,Твой,https://rus.hitmotop.com/search?q=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20%D0%A2%D0%B2%D0%BE%D0%B9
Баста,Я никогда не видел моря,https://rus.hitmotop.com/search?q=%D0%91%D0%B0%D1%81%D1%82%D0%B0%20%D0%AF%20%D0%BD%D0%B8%D0%BA%D0%BE%D0%B3%D0%B4%D0%B0%20%D0%BD%D0%B5%20%D0%B2%D0%B8%D0%B4%D0%B5%D0%BB%20%D0%BC%D0%BE%D1%80%D1%8F
Баста,AUSHPANA,https://rus.hitmotop.com/search?q=%D0%91%D0%B0%D1%81%D1%82%D0%B0%20AUSHPANA
Баста,Knockdown,https://rus.hitmotop.com/search?q=%D0%91%D0%B0%D1%81%D1%82%D0%B0%20Knockdown
Баста,XTZ,https://rus.hitmotop.com/search?q=%D0%91%D0%B0%D1%81%D1%82%D0%B0%20XTZ
Баста,"Америка, салют!",https://rus.hitmotop.com/search?q=%D0%91%D0%B0%D1%81%D1%82%D0%B0%20%D0%90%D0%BC%D0%B5%D1%80%D0%B8%D0%BA%D0%B0%2C%20%D1%81%D0%B0%D0%BB%D1%8E%D1%82%21
Баста,Баста 40,https://rus.hitmotop.com/search?q=%D0%91%D0%B0%D1%81%D1%82%D0%B0%20%D0%91%D0%B0%D1%81%D1%82%D0%B0%2040
Баста,Белый кит,https://rus.hitmotop.com/search?q=%D0%91%D0%B0%D1%81%D1%82%D0%B0%20%D0%91%D0%B5%D0%BB%D1%8B%D0%B9%20%D0%BA%D0%B8%D1%82
Баста,Буду,https://rus.hitmotop.com/search?q=%D0%91%D0%B0%D1%81%D1%82%D0%B0%20%D0%91%D1%83%D0%B4%D1%83
Баста,Бэйби бой,https://rus.hitmotop.com/search?q=%D0%91%D0%B0%D1%81%D1%82%D0%B0%20%D0%91%D1%8D%D0%B9%D0%B1%D0%B8%20%D0%B1%D0%BE%D0%B9
Баста,В городской суете,https://rus.hitmotop.com/search?q=%D0%91%D0%B0%D1%81%D1%82%D0%B0%20%D0%92%20%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%BE%D0%B9%20%D1%81%D1%83%D0%B5%D1%82%D0%B5
Баста,Вамп 2.0,https://rus.hitmotop.com/search?q=%D0%91%D0%B0%D1%81%D1%82%D0%B0%20%D0%92%D0%B0%D0%BC%D0%BF%202.0
Баста,Верю в тебя,https://rus.hitmotop.com/search?q=%D0%91%D0%B0%D1%81%D1%82%D0%B0%20%D0%92%D0%B5%D1%80%D1%8E%20%D0%B2%20%D1%82%D0%B5%D0%B1%D1%8F
Баста,Виски и кокаин,https://rus.hitmotop.com/search?q=%D0%91%D0%B0%D1%81%D1%82%D0%B0%20%D0%92%D0%B8%D1%81%D0%BA%D0%B8%20%D0%B8%20%D0%BA%D0%BE%D0%BA%D0%B0%D0%B8%D0%BD
Баста,Война,https://rus.hitmotop.com/search?q=%D0%91%D0%B0%D1%81%D1%82%D0%B0%20%D0%92%D0%BE%D0%B9%D0%BD%D0%B0
Баста,Выпускной (Медлячок),https://rus.hitmotop.com/search?q=%D0%91%D0%B0%D1%81%D1%82%D0%B0%20%D0%92%D1%8B%D0%BF%D1%83%D1%81%D0%BA%D0%BD%D0%BE%D0%B9%20%28%D0%9C%D0%B5%D0%B4%D0%BB%D1%8F%D1%87%D0%BE%D0%BA%29
Баста,Голос,https://rus.hitmotop.com/search?q=%D0%91%D0%B0%D1%81%D1%82%D0%B0%20%D0%93%D0%BE%D0%BB%D0%BE%D1%81
Баста,Город в огне,https://rus.hitmotop.com/search?q=%D0%91%D0%B0%D1%81%D1%82%D0%B0%20%D0%93%D0%BE%D1%80%D0%BE%D0%B4%20%D0%B2%20%D0%BE%D0%B3%D0%BD%D0%B5
Баста,Дай мне,https://rus.hitmotop.com/search?q=%D0%91%D0%B0%D1%81%D1%82%D0%B0%20%D0%94%D0%B0%D0%B9%20%D0%BC%D0%BD%D0%B5
Баста,Другая волна,https://rus.hitmotop.com/search?q=%D0%91%D0%B0%D1%81%D1%82%D0%B0%20%D0%94%D1%80%D1%83%D0%B3%D0%B0%D1%8F%20%D0%B2%D0%BE%D0%BB%D0%BD%D0%B0
Баста,Заколоченное,https://rus.hitmotop.com/search?q=%D0%91%D0%B0%D1%81%D1%82%D0%B0%20%D0%97%D0%B0%D0%BA%D0%BE%D0%BB%D0%BE%D1%87%D0%B5%D0%BD%D0%BD%D0%BE%D0%B5
